image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1718185.jpeg,MISSING,1,Dyrehaven,1
1709175.jpeg,MISSING,1,MISSING,1
1706979.jpeg,19/5.1870,1,Kb | Dyrehaven,1
1709457.jpeg,14.10.1933,1,Stursbøl,1
1708912.jpeg,26.8.1920,1,Bygholm,1
1705778.jpeg,22.5.1984,1,Bøtø plt,1
1705485.jpeg,13/5.1870,1,NS | Aldershvile,1
1707739.jpeg,9.6.1982,1,Skallingen,1
1709200.jpeg,26.9.1977,1,Dyrehaven,1
1706766.jpeg,15/7 1930,1,"Falster, Grønsund Færgen.",1
1744456.jpeg,19-04-1930,1,Esbjerg V. Strand,1
1709845.jpeg,22.8.22,1,Thorsager,1
1706023.jpeg,19.V.2022,1,"Denmark: Samsø, EJ: Følsdal Bakke, 55.9922N, 10.5515E, h30m",1
1709354.jpeg,MISSING,1,MISSING,1
1709796.jpeg,12/V 1994,1,Glyngøre,1
1708464.jpeg,MISSING,1,MISSING,1
1707932.jpeg,13.5.1938,1,Aasø,1
1707430.jpeg,21/5 1922,1,Lellinge Aa,1
1705930.jpeg,22-5-22,1,Søllerød,1
1706478.jpeg,16/6. 1871,1, Al | Nord for Storskoven Vendsyssel,1
1708800.jpeg,Septbr 84,1,Tebbestrup,1
1709794.jpeg,17.10.1987,1,Svinø Strand,1
1707396.jpeg,MISSING,1,Tiis Sø,1
1743896.jpeg,13/6 1954,1,"Ørgaard Nors, Thy",1
1706065.jpeg,5.6.22,1,Dyrehaven,1
1705830.jpeg,23/6.1870,1,Kb | Dyrehaven,1
1709105.jpeg,10-9.1935,1,Jy. Herning Brændgaard,1
1705589.jpeg,12/8 1923,1,Ravneholm Grusgr.,1
1709061.jpeg,29/9 1940,1,Tange,1
1705833.jpeg,MISSING,1,MISSING,1
1707087.jpeg,14-5-1953,1,Kulhuse,1
1743021.jpeg,13.6.1947,1,Vind Hede Jyll.,1
1705940.jpeg,29-VIII 1985,1,"SKIBBY, SJ.",1
1709382.jpeg,1.5.1997,1,Dyrehaven,1
1744458.jpeg,19.4.1930,1,Esbjerg V. Strand,1
1709667.jpeg,2-4-49,1,Rude Skov,1
1706911.jpeg,1883,1,Dyrehaven,1
1706273.jpeg,25/6 11,1,MISSING,1
1707285.jpeg,6.6.1924 | 30.5.1943,1,Skagen | Stengade Sø,1
1705463.jpeg,MISSING,1,Veilø Bugt,1
1744675.jpeg,MISSING,1,MISSING,1
1707539.jpeg,MISSING,1,MISSING,1
1709239.jpeg,16/4-1870,1,Dyrehaven,1
1709028.jpeg,13/9 1887,1,København,1
1705521.jpeg,Juni 81,1,Dyrehaven,1
1707761.jpeg,4.6.65,1,Røsnæs,1
1706292.jpeg,15.V.2011,1,Røsnæsgd. NWZ,1
1706965.jpeg,29/5.1870,1,Dyrehaven,1
1744642.jpeg,22.5-1955,1,Skallingen,1
1709089.jpeg,3-9-1915,1,Lersøen,1
1707410.jpeg,21/6 83,1,Esbjerg,1
1708936.jpeg,MISSING,1,Øbjerggård,1
1707856.jpeg,MISSING,1,Jægerspris,1
1706982.jpeg,MISSING,1,MISSING,1
1706929.jpeg,19/5 1870,1,Dyrehaven,1
1709928.jpeg,12/7 70,1,Ørholmfælled,1
1743813.jpeg,16.6.1929,1,Lellinge skov,1
1742807.jpeg,MISSING,1,MISSING,1
1742723.jpeg,17.5.22,1,Søllerød,1
1743912.jpeg,7/8 | 1-15 Aug. 1933,1,Frøslev v. Padborg,1
1742800.jpeg,MISSING,1,MISSING,1
1705668.jpeg,MISSING,1,Veilø Bugt,1
1707673.jpeg,14/6 1871,1,Jÿdske Aas Vendsÿssel,1
1708885.jpeg,13.10.1991,1,Marselisborg,1
1744591.jpeg,7.vi.91,1,Sondbg,1
1743538.jpeg,22.8.22,1,Thorsager,1
1705625.jpeg,4-8-1953,1,Haveskov,1
1705667.jpeg,MISSING,1,Veilø Bugt,1
1707084.jpeg,29-5-1951,1,Dyrehaven,1
1706030.jpeg,19.V.2022,1,"Denmark: Samsø: EJ: Følsdal Bakke, 55.9922N, 10.5515E, h30m",1
1709431.jpeg,27.IV.2022,1,"DENMARK: NEZ: Hellebæk Avlsgård, Kohave, 56.0554N, 12.5439E",1
1743061.jpeg,15.10.21,1,Dyrehaven,1
1743537.jpeg,20.7.1910,1,Poulsens Have,1
1707627.jpeg,MISSING,1,Tisvilde,1
1743533.jpeg,8.7.1883,1,Husum,1
1709033.jpeg,24/8 1906,1,Vester Ulslev Vestermosen,1
1707818.jpeg,6/1862,1,Ti | Kulhuset Jægerspris,1
1705472.jpeg,7/1870,1,Ørholm,1
1709020.jpeg,MISSING,1,MISSING,1
1743909.jpeg,1-15 Aug. 1933,1,Frøslev v. Padborg,1
1705819.jpeg,MISSING,1,Dyrehaven,1
1706933.jpeg,19/5.1870,1,Dyrehaven,1
1705950.jpeg,23.6.1973,1,Feddet Præstø | Danmark,1
1706768.jpeg,13-8-36,1,Hindsholm,1
1707534.jpeg,10/5 72,1,MISSING,1
1706496.jpeg,Juli 1830,1,Sielland,1
1705665.jpeg,MISSING,1,Veilø Bugt,1
1706468.jpeg,MISSING,1,Al,1
1742777.jpeg,MISSING,1,MISSING,1
1744625.jpeg,5/6 1888,1,Harboøre,1
1708370.jpeg,18.-4.-45.,1,",,Svingel'' sv.",1
1706878.jpeg,26-7-1951,1,Nivå,1
1706978.jpeg,MISSING,1,Kb,1
1743988.jpeg,26-7-1951,1,Nivå,1
1743496.jpeg,MISSING,1,Ti,1
1743949.jpeg,4-4-1953,1,Glumsø øst-skv,1
1709931.jpeg,6.8.81,1,Tjustrup,1
1706347.jpeg,6/1869,1,Ti | Rørvig Nykjøbing,1
1707507.jpeg,9-8-1973,1,Høvblege,1
1728502.jpeg,4 80,1,Odense,1
1709178.jpeg,MISSING,1,MISSING,1
1708477.jpeg,MISSING,1,MISSING,1
1705571.jpeg,3-7-43,1,Veddinge Bakker,1
1709994.jpeg,4/8 79,1,Fa. Nyby,1
1709500.jpeg,MISSING,1,Dyrehaven,1
1705578.jpeg,22/7-4/8 1941,1,Gindeskov v. Skive,1
1707616.jpeg,13.6.1935,1,Hasle Teglværk,1
1707440.jpeg,9/5-20,1,Børstinge Mose,1
1707535.jpeg,MISSING,1,MISSING,1
1707983.jpeg,MISSING,1,Kb,1
1744698.jpeg,10-5-1956,1,Kongelunden,1
1708784.jpeg,MISSING,1,MISSING,1
1743554.jpeg,MISSING,1,MISSING,1
1743795.jpeg,3/6-1941,1,Kastrup Dyrehave Tystrup Sø,1
1709800.jpeg,4.5.1947 | 1947,1,Frederikssund Sjæll.,1
1707063.jpeg,27.v.1983,1,Romsø Dyrehave,1
1706276.jpeg,19-6-1956,1,Jydelejet Møn,1
1705431.jpeg,22.5.1902,1,Halk,1
1743543.jpeg,MISSING,1,Øbjerggård,1
1728593.jpeg,9.VI.1991,1,Arnager,1
1707875.jpeg,1.11.59,1,Silkeborg,1
1707765.jpeg,MISSING,1,Øbjerggård,1
1709217.jpeg,28.9.1913,1,Dyrehaven,1
1708813.jpeg,MISSING,1,MISSING,1
1706862.jpeg,19-8-1962,1,"NØ, Kongelunden",1
1705539.jpeg,17-6-1922,1,Dyrehaven,1
1706306.jpeg,10.6.1951 | 10.6.1951,1,Rotholme Jyll. | Rotholme Jyll.,1
1709985.jpeg,9-8-1973,1,Høvblege,1
1707307.jpeg,4.5.1938,1,Vesterris,1
1706333.jpeg,MISSING,1,MISSING,1
1744666.jpeg,7.5.87,1,Harboør,1
1744621.jpeg,18/5 1890,1,Selsø Strand,1
1705875.jpeg,21 Juni,1,Grenaa,1
1705780.jpeg,29.5.1984,1,Bøtø plt.,1
1706762.jpeg,1/8 1930,1,Dybbøl.,1
1706951.jpeg,26/5-1870,1,Dyrehaven,1
1705988.jpeg,8-7-1951,1,Nivå,1
1743779.jpeg,6-7-37,1,Trelde,1
1743733.jpeg,29.7.89,1,Hjorte,1
1709471.jpeg,MISSING,1,Dyrehaven,1
1705740.jpeg,18/7 70,1,Faaborg,1
1743505.jpeg,MISSING,1,Vejlø Bugt,1
1707472.jpeg,20-5-1917,1,Hjørring,1
1708358.jpeg,14-5-1914,1,Vamdrup,1
1706937.jpeg,MISSING,1,Dyrehaven,1
1709787.jpeg,14.IV.1995,1,LFM PF67 Maltrup,1
1743725.jpeg,13/6 1954,1,"Ørgaard Nors, Thy",1
1743037.jpeg,7.92,1,Frøslev,1
1709937.jpeg,MISSING,1,Silkeborg,1
1705536.jpeg,11/5-1896,1,Nørlun Hede,1
